# Rf minimum position in the X direction (across the trap)
# using calculatestuff.m
# Position Z (m)   Design m. position (m)   Twisted RF m. position (m)
   1.1306667e-03  -7.6944189e-20   1.0544606e-06
   1.1413333e-03  -3.1572077e-20   1.0625577e-06
   1.1520000e-03  -1.7050579e-19   1.0637526e-06
   1.1626667e-03  -3.5480886e-19   1.0685457e-06
   1.1733333e-03  -3.5491196e-19   1.0737703e-06
   1.1840000e-03  -8.0709985e-20   1.0751007e-06
   1.1946667e-03  -4.0050253e-19   1.0778766e-06
   1.2053333e-03  -8.2259208e-20   1.0810389e-06
   1.2160000e-03  -3.0963527e-19   1.0896840e-06
   1.2266667e-03  -8.3817108e-20   1.0928881e-06
   1.2373333e-03  -8.4603610e-20   1.0926002e-06
   1.2480000e-03  -4.0436388e-20   1.0992019e-06
   1.2586667e-03   1.8271810e-19   1.0997850e-06
   1.2693333e-03   2.3632241e-21   1.1073516e-06
   1.2800000e-03  -2.6582738e-19   1.1054119e-06
   1.2906667e-03  -1.7734121e-19   1.1097776e-06
   1.3013333e-03  -2.6628308e-19   1.1098982e-06
   1.3120000e-03  -4.6156590e-20   1.1107872e-06
   1.3226667e-03  -2.6673532e-19   1.1152059e-06
   1.3333333e-03   1.2692002e-19   1.1157725e-06
   1.3440000e-03   1.2529932e-19   1.1178429e-06
   1.3546667e-03  -3.9797679e-19   1.1197542e-06
   1.3653333e-03  -2.2449918e-19   1.1241155e-06
   1.3760000e-03  -3.5448123e-19   1.1223608e-06
   1.3866667e-03  -1.0382908e-20   1.1297390e-06
   1.3973333e-03  -5.4503224e-20   1.1305259e-06
   1.4080000e-03  -5.5624135e-20   1.1348583e-06
   1.4186667e-03  -5.6768934e-20   1.1381323e-06
   1.4293333e-03  -1.8526081e-19   1.1410143e-06
   1.4400000e-03  -1.0140439e-19   1.1435576e-06
   1.4506667e-03  -3.1338608e-19   1.1457952e-06
   1.4613333e-03  -1.0362804e-19   1.1480414e-06
   1.4720000e-03   1.0496796e-19   1.1496370e-06
   1.4826667e-03   1.4503026e-19   1.1558652e-06
   1.4933333e-03   1.8011012e-20   1.1589626e-06
   1.5040000e-03  -2.7477441e-19   1.1595052e-06
   1.5146667e-03  -2.7565862e-19   1.1619984e-06
   1.5253333e-03   5.4647032e-20   1.1672967e-06
   1.5360000e-03   5.2906879e-20   1.1723630e-06
   1.5466667e-03  -3.6059888e-19   1.1764918e-06
   1.5573333e-03  -7.3841367e-20   1.1828170e-06
   1.5680000e-03  -7.5325891e-20   1.1834173e-06
   1.5786667e-03  -7.6844207e-20   1.1864207e-06
   1.5893333e-03   8.4649303e-20   1.1883930e-06
   1.6000000e-03  -1.6122715e-19   1.1985080e-06
