# Rf minimum position in the Y direction (perpendicular to the trap)
# using calculatestuff.m
# Position Z (m)   Design m. position (m)   Twisted RF m. position (m)
   1.1946667e-03   1.2477494e-05   6.8511484e-06
   1.2053333e-03   1.2474627e-05   6.8210910e-06
   1.2160000e-03   1.2467915e-05   6.7923888e-06
   1.2266667e-03   1.2461590e-05   6.7634013e-06
   1.2373333e-03   1.2460695e-05   6.7318683e-06
   1.2480000e-03   1.2451869e-05   6.7013190e-06
   1.2586667e-03   1.2451116e-05   6.6723048e-06
   1.2693333e-03   1.2449592e-05   6.6424753e-06
   1.2800000e-03   1.2442372e-05   6.6081739e-06
   1.2906667e-03   1.2438391e-05   6.5817501e-06
   1.3013333e-03   1.2432545e-05   6.5529253e-06
   1.3120000e-03   1.2425121e-05   6.5240439e-06
   1.3226667e-03   1.2416981e-05   6.4947830e-06
   1.3333333e-03   1.2417070e-05   6.4647669e-06
   1.3440000e-03   1.2413540e-05   6.4352474e-06
   1.3546667e-03   1.2411867e-05   6.4065105e-06
   1.3653333e-03   1.2408766e-05   6.3769600e-06
   1.3760000e-03   1.2398913e-05   6.3488357e-06
   1.3866667e-03   1.2393184e-05   6.3176255e-06
   1.3973333e-03   1.2386167e-05   6.2927408e-06
   1.4080000e-03   1.2382649e-05   6.2646951e-06
   1.4186667e-03   1.2376119e-05   6.2328019e-06
   1.4293333e-03   1.2373059e-05   6.2122210e-06
   1.4400000e-03   1.2369701e-05   6.1886390e-06
   1.4506667e-03   1.2369831e-05   6.1585431e-06
   1.4613333e-03   1.2367917e-05   6.1310955e-06
   1.4720000e-03   1.2361949e-05   6.1049594e-06
   1.4826667e-03   1.2364222e-05   6.0779286e-06
   1.4933333e-03   1.2361526e-05   6.0497616e-06
   1.5040000e-03   1.2347705e-05   6.0275651e-06
   1.5146667e-03   1.2354109e-05   6.0022734e-06
   1.5253333e-03   1.2348303e-05   5.9769820e-06
   1.5360000e-03   1.2350154e-05   5.9568197e-06
   1.5466667e-03   1.2351867e-05   5.9324565e-06
   1.5573333e-03   1.2349745e-05   5.9062280e-06
   1.5680000e-03   1.2347209e-05   5.8833913e-06
   1.5786667e-03   1.2343090e-05   5.8626322e-06
   1.5893333e-03   1.2347163e-05   5.8379056e-06
   1.6000000e-03   1.2347834e-05   5.8150875e-06
